"","City","ID","year","seas","variable","value"
"304","KOLKATA (ALIPORE)","42807",1972,"DJF","Prec",0.698888888888889
"305","KOLKATA (ALIPORE)","42807",1973,"DJF","Prec",0.987777777777778
"306","KOLKATA (ALIPORE)","42807",1974,"DJF","Prec",0.0222222222222222
"307","KOLKATA (ALIPORE)","42807",1975,"DJF","Prec",0.534831460674157
"308","KOLKATA (ALIPORE)","42807",1976,"DJF","Prec",0.715384615384615
"309","KOLKATA (ALIPORE)","42807",1977,"DJF","Prec",1.21444444444444
"310","KOLKATA (ALIPORE)","42807",1978,"DJF","Prec",0.143333333333333
"311","KOLKATA (ALIPORE)","42807",1979,"DJF","Prec",1.10333333333333
"312","KOLKATA (ALIPORE)","42807",1980,"DJF","Prec",1.06043956043956
"313","KOLKATA (ALIPORE)","42807",1981,"DJF","Prec",2.2685393258427
"314","KOLKATA (ALIPORE)","42807",1982,"DJF","Prec",0.224444444444444
"315","KOLKATA (ALIPORE)","42807",1983,"DJF","Prec",0.621111111111111
"316","KOLKATA (ALIPORE)","42807",1984,"DJF","Prec",0.417582417582418
"317","KOLKATA (ALIPORE)","42807",1985,"DJF","Prec",0.16
"318","KOLKATA (ALIPORE)","42807",1986,"DJF","Prec",0.0581395348837209
"319","KOLKATA (ALIPORE)","42807",1987,"DJF","Prec",0.152439024390244
"320","KOLKATA (ALIPORE)","42807",1988,"DJF","Prec",0.268888888888889
"321","KOLKATA (ALIPORE)","42807",1989,"DJF","Prec",0.258888888888889
"322","KOLKATA (ALIPORE)","42807",1990,"DJF","Prec",0.4
"323","KOLKATA (ALIPORE)","42807",1991,"DJF","Prec",0.802272727272727
"324","KOLKATA (ALIPORE)","42807",1992,"DJF","Prec",0.698888888888889
"325","KOLKATA (ALIPORE)","42807",1993,"DJF","Prec",0.0388888888888889
"326","KOLKATA (ALIPORE)","42807",1994,"DJF","Prec",0.73448275862069
"327","KOLKATA (ALIPORE)","42807",1995,"DJF","Prec",0.483333333333333
"328","KOLKATA (ALIPORE)","42807",1996,"DJF","Prec",0.139325842696629
"329","KOLKATA (ALIPORE)","42807",1997,"DJF","Prec",0.808988764044944
"330","KOLKATA (ALIPORE)","42807",1998,"DJF","Prec",1.28555555555556
"331","KOLKATA (ALIPORE)","42807",1999,"DJF","Prec",0
"332","KOLKATA (ALIPORE)","42807",2000,"DJF","Prec",0.661538461538462
"333","KOLKATA (ALIPORE)","42807",2001,"DJF","Prec",0.0688888888888889
"334","KOLKATA (ALIPORE)","42807",2002,"DJF","Prec",0.332954545454545
"335","KOLKATA (ALIPORE)","42807",2003,"DJF","Prec",0.239325842696629
"336","KOLKATA (ALIPORE)","42807",2004,"DJF","Prec",0.0010989010989011
"337","KOLKATA (ALIPORE)","42807",2005,"DJF","Prec",0.28
"338","KOLKATA (ALIPORE)","42807",2006,"DJF","Prec",0
"339","KOLKATA (ALIPORE)","42807",2007,"DJF","Prec",0.528888888888889
"340","KOLKATA (ALIPORE)","42807",2008,"DJF","Prec",1.28131868131868
"341","KOLKATA (ALIPORE)","42807",2009,"DJF","Prec",0.00111111111111111
"342","KOLKATA (ALIPORE)","42807",2010,"DJF","Prec",0.402222222222222
"343","KOLKATA (ALIPORE)","42807",2011,"DJF","Prec",0.17
"344","KOLKATA (ALIPORE)","42807",2012,"DJF","Prec",1.58351648351648
